test_case,grid_size,num_searches_factor,random_seed,image_type,serial_image,parallel_image,serial_hash,parallel_hash,hash_match,total_pixels,different_pixels,percent_different,max_difference,avg_difference,error,diff_visualization
g10_f0.1_s3,10,0.1,3,search,q1/images/DungeonHunter_serial_g10_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g10_f0.1_s3_search.png,f264d18946c61960789bd9ef4b5df298,f264d18946c61960789bd9ef4b5df298,True,,,,,,,
g10_f0.1_s3,10,0.1,3,path,q1/images/DungeonHunter_serial_g10_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g10_f0.1_s3_path.png,96733aa5b5918590da8699ab60f5a666,96733aa5b5918590da8699ab60f5a666,True,,,,,,,
g10_f0.1_s60,10,0.1,60,search,q1/images/DungeonHunter_serial_g10_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g10_f0.1_s60_search.png,abf0a077053871067db6a2f5c7137a8a,abf0a077053871067db6a2f5c7137a8a,True,,,,,,,
g10_f0.1_s60,10,0.1,60,path,q1/images/DungeonHunter_serial_g10_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g10_f0.1_s60_path.png,293c7e515c7797e9954e386cf46b0384,293c7e515c7797e9954e386cf46b0384,True,,,,,,,
g10_f0.4_s3,10,0.4,3,search,q1/images/DungeonHunter_serial_g10_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g10_f0.4_s3_search.png,2dde78d65899237dc5c47d104850d9be,2dde78d65899237dc5c47d104850d9be,True,,,,,,,
g10_f0.4_s3,10,0.4,3,path,q1/images/DungeonHunter_serial_g10_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g10_f0.4_s3_path.png,066e9c9f686e382fe7d86012954278c3,066e9c9f686e382fe7d86012954278c3,True,,,,,,,
g10_f0.4_s60,10,0.4,60,search,q1/images/DungeonHunter_serial_g10_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g10_f0.4_s60_search.png,b6b702d558330f9c4e404e13d83bb84c,b6b702d558330f9c4e404e13d83bb84c,True,,,,,,,
g10_f0.4_s60,10,0.4,60,path,q1/images/DungeonHunter_serial_g10_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g10_f0.4_s60_path.png,0467384e5112e34bf89a81fa3cd363d6,0467384e5112e34bf89a81fa3cd363d6,True,,,,,,,
g25_f0.1_s3,25,0.1,3,search,q1/images/DungeonHunter_serial_g25_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g25_f0.1_s3_search.png,a5191c589ab6e08e26e454d4138a29b6,a5191c589ab6e08e26e454d4138a29b6,True,,,,,,,
g25_f0.1_s3,25,0.1,3,path,q1/images/DungeonHunter_serial_g25_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g25_f0.1_s3_path.png,6b421b97afb48c738a05a93d16a4adb5,6b421b97afb48c738a05a93d16a4adb5,True,,,,,,,
g25_f0.1_s60,25,0.1,60,search,q1/images/DungeonHunter_serial_g25_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g25_f0.1_s60_search.png,802c57c314d41b8f2705c526929e2c3c,802c57c314d41b8f2705c526929e2c3c,True,,,,,,,
g25_f0.1_s60,25,0.1,60,path,q1/images/DungeonHunter_serial_g25_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g25_f0.1_s60_path.png,bb53f7b41dfb58cb65bf16b426dff109,bb53f7b41dfb58cb65bf16b426dff109,True,,,,,,,
g25_f0.4_s3,25,0.4,3,search,q1/images/DungeonHunter_serial_g25_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g25_f0.4_s3_search.png,d73ae02835a0e5fdad040b179a955c20,d73ae02835a0e5fdad040b179a955c20,True,,,,,,,
g25_f0.4_s3,25,0.4,3,path,q1/images/DungeonHunter_serial_g25_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g25_f0.4_s3_path.png,9f7d0ec83d1c197a97b46b7e8f214459,9f7d0ec83d1c197a97b46b7e8f214459,True,,,,,,,
g25_f0.4_s60,25,0.4,60,search,q1/images/DungeonHunter_serial_g25_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g25_f0.4_s60_search.png,0263a1dbd4eae546d67a56b9e0e8702f,0263a1dbd4eae546d67a56b9e0e8702f,True,,,,,,,
g25_f0.4_s60,25,0.4,60,path,q1/images/DungeonHunter_serial_g25_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g25_f0.4_s60_path.png,fb05412931a112da260d9596a044f8b5,fb05412931a112da260d9596a044f8b5,True,,,,,,,
g40_f0.1_s3,40,0.1,3,search,q1/images/DungeonHunter_serial_g40_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g40_f0.1_s3_search.png,6053f19a275df8a17e642235fff1c9e9,6053f19a275df8a17e642235fff1c9e9,True,,,,,,,
g40_f0.1_s3,40,0.1,3,path,q1/images/DungeonHunter_serial_g40_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g40_f0.1_s3_path.png,df7269a623998b00424dc4b5d38604e8,df7269a623998b00424dc4b5d38604e8,True,,,,,,,
g40_f0.1_s60,40,0.1,60,search,q1/images/DungeonHunter_serial_g40_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g40_f0.1_s60_search.png,7ad9df0e85a0d2e584440541bd31d9f6,7ad9df0e85a0d2e584440541bd31d9f6,True,,,,,,,
g40_f0.1_s60,40,0.1,60,path,q1/images/DungeonHunter_serial_g40_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g40_f0.1_s60_path.png,8bceb468ecf4a0dfe82366ffdf743ec6,8bceb468ecf4a0dfe82366ffdf743ec6,True,,,,,,,
g40_f0.4_s3,40,0.4,3,search,q1/images/DungeonHunter_serial_g40_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g40_f0.4_s3_search.png,ad8f0cacb610bfa2360a24d09936288f,ad8f0cacb610bfa2360a24d09936288f,True,,,,,,,
g40_f0.4_s3,40,0.4,3,path,q1/images/DungeonHunter_serial_g40_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g40_f0.4_s3_path.png,72a9dacc3ca24acade8d5ab8df04a560,72a9dacc3ca24acade8d5ab8df04a560,True,,,,,,,
g40_f0.4_s60,40,0.4,60,search,q1/images/DungeonHunter_serial_g40_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g40_f0.4_s60_search.png,5a1284f0d5e3cefb7d596c9c07b0b08d,5a1284f0d5e3cefb7d596c9c07b0b08d,True,,,,,,,
g40_f0.4_s60,40,0.4,60,path,q1/images/DungeonHunter_serial_g40_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g40_f0.4_s60_path.png,86422d8453752f232856ebef6fcadba8,86422d8453752f232856ebef6fcadba8,True,,,,,,,
g50_f0.1_s3,50,0.1,3,search,q1/images/DungeonHunter_serial_g50_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g50_f0.1_s3_search.png,8ca27d0bf2e0db03bcae4b825638e459,8ca27d0bf2e0db03bcae4b825638e459,True,,,,,,,
g50_f0.1_s3,50,0.1,3,path,q1/images/DungeonHunter_serial_g50_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g50_f0.1_s3_path.png,5c92507d393d05f261c52bde607c1749,5c92507d393d05f261c52bde607c1749,True,,,,,,,
g50_f0.1_s60,50,0.1,60,search,q1/images/DungeonHunter_serial_g50_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g50_f0.1_s60_search.png,dd8ac9ee38650c165454eefb66c25661,dd8ac9ee38650c165454eefb66c25661,True,,,,,,,
g50_f0.1_s60,50,0.1,60,path,q1/images/DungeonHunter_serial_g50_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g50_f0.1_s60_path.png,01bd0707acd3af5c11367562bcb6103f,01bd0707acd3af5c11367562bcb6103f,True,,,,,,,
g50_f0.4_s3,50,0.4,3,search,q1/images/DungeonHunter_serial_g50_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g50_f0.4_s3_search.png,b7f04560196f252ca47dab31c94959f8,b7f04560196f252ca47dab31c94959f8,True,,,,,,,
g50_f0.4_s3,50,0.4,3,path,q1/images/DungeonHunter_serial_g50_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g50_f0.4_s3_path.png,82434c736146f6f05ba610164deb5b5e,82434c736146f6f05ba610164deb5b5e,True,,,,,,,
g50_f0.4_s60,50,0.4,60,search,q1/images/DungeonHunter_serial_g50_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g50_f0.4_s60_search.png,e9bd95e6407eeb5ec607f0fe0c8b339b,e9bd95e6407eeb5ec607f0fe0c8b339b,True,,,,,,,
g50_f0.4_s60,50,0.4,60,path,q1/images/DungeonHunter_serial_g50_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g50_f0.4_s60_path.png,0a74d3ed16061b36211b1535a63851d7,0a74d3ed16061b36211b1535a63851d7,True,,,,,,,
g75_f0.1_s3,75,0.1,3,search,q1/images/DungeonHunter_serial_g75_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g75_f0.1_s3_search.png,5c59306ba706a77ff9ffbe6dc8eab6f8,5c59306ba706a77ff9ffbe6dc8eab6f8,True,,,,,,,
g75_f0.1_s3,75,0.1,3,path,q1/images/DungeonHunter_serial_g75_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g75_f0.1_s3_path.png,84d982f93af0f2ccd504c16c91fbc684,84d982f93af0f2ccd504c16c91fbc684,True,,,,,,,
g75_f0.1_s60,75,0.1,60,search,q1/images/DungeonHunter_serial_g75_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g75_f0.1_s60_search.png,96759c61c5de64f0fe4067e905a8e304,96759c61c5de64f0fe4067e905a8e304,True,,,,,,,
g75_f0.1_s60,75,0.1,60,path,q1/images/DungeonHunter_serial_g75_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g75_f0.1_s60_path.png,39818b296695e0cb3075ebe67f5d18e6,39818b296695e0cb3075ebe67f5d18e6,True,,,,,,,
g75_f0.4_s3,75,0.4,3,search,q1/images/DungeonHunter_serial_g75_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g75_f0.4_s3_search.png,85231073739cf4412575657cb0955e15,85231073739cf4412575657cb0955e15,True,,,,,,,
g75_f0.4_s3,75,0.4,3,path,q1/images/DungeonHunter_serial_g75_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g75_f0.4_s3_path.png,039f6d82b7b8a2f4e7a7021453af1866,039f6d82b7b8a2f4e7a7021453af1866,True,,,,,,,
g75_f0.4_s60,75,0.4,60,search,q1/images/DungeonHunter_serial_g75_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g75_f0.4_s60_search.png,6b882e9bb442dc97d5713ec6e71ccc8d,6b882e9bb442dc97d5713ec6e71ccc8d,True,,,,,,,
g75_f0.4_s60,75,0.4,60,path,q1/images/DungeonHunter_serial_g75_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g75_f0.4_s60_path.png,3306bb792f12bcb86338d183156579aa,3306bb792f12bcb86338d183156579aa,True,,,,,,,
g90_f0.1_s3,90,0.1,3,search,q1/images/DungeonHunter_serial_g90_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g90_f0.1_s3_search.png,e40ee9aa28227d43e0d38861735b4bb1,e40ee9aa28227d43e0d38861735b4bb1,True,,,,,,,
g90_f0.1_s3,90,0.1,3,path,q1/images/DungeonHunter_serial_g90_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g90_f0.1_s3_path.png,7929fcce95571566442cdbdb9b3d77a0,7929fcce95571566442cdbdb9b3d77a0,True,,,,,,,
g90_f0.1_s60,90,0.1,60,search,q1/images/DungeonHunter_serial_g90_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g90_f0.1_s60_search.png,c19525791a1742d46b7f091725b3a4fb,c19525791a1742d46b7f091725b3a4fb,True,,,,,,,
g90_f0.1_s60,90,0.1,60,path,q1/images/DungeonHunter_serial_g90_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g90_f0.1_s60_path.png,cd15b81293e07b71a0b7639ca80f5fba,cd15b81293e07b71a0b7639ca80f5fba,True,,,,,,,
g90_f0.4_s3,90,0.4,3,search,q1/images/DungeonHunter_serial_g90_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g90_f0.4_s3_search.png,a6ce2813dc3a78b17e7fcb4899095388,a6ce2813dc3a78b17e7fcb4899095388,True,,,,,,,
g90_f0.4_s3,90,0.4,3,path,q1/images/DungeonHunter_serial_g90_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g90_f0.4_s3_path.png,f5e5f1cf40983f713109b118b3d672fe,f5e5f1cf40983f713109b118b3d672fe,True,,,,,,,
g90_f0.4_s60,90,0.4,60,search,q1/images/DungeonHunter_serial_g90_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g90_f0.4_s60_search.png,f17565f8284718a699e31b19a0beef8d,f17565f8284718a699e31b19a0beef8d,True,,,,,,,
g90_f0.4_s60,90,0.4,60,path,q1/images/DungeonHunter_serial_g90_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g90_f0.4_s60_path.png,7490d56f9d2fbdee3a6ef9ec1edf22c2,7490d56f9d2fbdee3a6ef9ec1edf22c2,True,,,,,,,
g100_f0.1_s3,100,0.1,3,search,q1/images/DungeonHunter_serial_g100_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g100_f0.1_s3_search.png,bf0cf9cea161b4e5671613aae4f9e6d7,bf0cf9cea161b4e5671613aae4f9e6d7,True,,,,,,,
g100_f0.1_s3,100,0.1,3,path,q1/images/DungeonHunter_serial_g100_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g100_f0.1_s3_path.png,96b392058692432388a4261971460b8c,96b392058692432388a4261971460b8c,True,,,,,,,
g100_f0.1_s60,100,0.1,60,search,q1/images/DungeonHunter_serial_g100_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g100_f0.1_s60_search.png,d347f5f7a91effb608ae063e0dc7bf59,d347f5f7a91effb608ae063e0dc7bf59,True,,,,,,,
g100_f0.1_s60,100,0.1,60,path,q1/images/DungeonHunter_serial_g100_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g100_f0.1_s60_path.png,fc9484efff5a8d75f1095336bf3dabf8,fc9484efff5a8d75f1095336bf3dabf8,True,,,,,,,
g100_f0.4_s3,100,0.4,3,search,q1/images/DungeonHunter_serial_g100_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g100_f0.4_s3_search.png,19e278f45925bde9a191cf843ee5390c,19e278f45925bde9a191cf843ee5390c,True,,,,,,,
g100_f0.4_s3,100,0.4,3,path,q1/images/DungeonHunter_serial_g100_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g100_f0.4_s3_path.png,de6b9909eac4e2fab4888a8561ddbbee,de6b9909eac4e2fab4888a8561ddbbee,True,,,,,,,
g100_f0.4_s60,100,0.4,60,search,q1/images/DungeonHunter_serial_g100_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g100_f0.4_s60_search.png,01946c64d18d7e106001054c5e9059ff,01946c64d18d7e106001054c5e9059ff,True,,,,,,,
g100_f0.4_s60,100,0.4,60,path,q1/images/DungeonHunter_serial_g100_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g100_f0.4_s60_path.png,014c7eca2e17ca6810cd355bdd2c58d4,014c7eca2e17ca6810cd355bdd2c58d4,True,,,,,,,
g115_f0.1_s3,115,0.1,3,search,q1/images/DungeonHunter_serial_g115_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g115_f0.1_s3_search.png,c829fa28709a6b8aa9cdb0f895e51009,c829fa28709a6b8aa9cdb0f895e51009,True,,,,,,,
g115_f0.1_s3,115,0.1,3,path,q1/images/DungeonHunter_serial_g115_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g115_f0.1_s3_path.png,72fefb531cae4704683aaa91bb351577,72fefb531cae4704683aaa91bb351577,True,,,,,,,
g115_f0.1_s60,115,0.1,60,search,q1/images/DungeonHunter_serial_g115_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g115_f0.1_s60_search.png,9415cfd8080daf7f6e8d0099c2056b12,9415cfd8080daf7f6e8d0099c2056b12,True,,,,,,,
